player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
Jimpphat,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Jimpphat,Higher 14.5 headshots on maps 1+2,2025-08-31T23:06:01Z
Jimpphat,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Jimpphat,Lower 14.5 headshots on maps 1+2,2025-08-31T23:06:01Z
HeavyGod,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,HeavyGod,Higher 27.5 kills on maps 1+2,2025-08-31T23:06:18Z
HeavyGod,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,HeavyGod,Lower 27.5 kills on maps 1+2,2025-08-31T23:06:18Z
HeavyGod,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,HeavyGod,Higher 14.5 headshots on maps 1+2,2025-08-31T23:06:18Z
HeavyGod,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,HeavyGod,Lower 14.5 headshots on maps 1+2,2025-08-31T23:06:18Z
SunPayus,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, SunPayus,Higher 25.5 kills on maps 1+2,2025-08-31T23:06:18Z
SunPayus,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, SunPayus,Lower 25.5 kills on maps 1+2,2025-08-31T23:06:18Z
SunPayus,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, SunPayus,Higher 9.0 headshots on maps 1+2,2025-08-31T23:06:18Z
SunPayus,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, SunPayus,Lower 9.0 headshots on maps 1+2,2025-08-31T23:06:18Z
FalleN,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,FalleN,Higher 24.5 kills on maps 1+2,2025-08-31T23:06:01Z
FalleN,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,FalleN,Lower 24.5 kills on maps 1+2,2025-08-31T23:06:01Z
FalleN,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,FalleN,Higher 13.0 headshots on maps 1+2,2025-08-31T23:06:01Z
FalleN,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,FalleN,Lower 13.0 headshots on maps 1+2,2025-08-31T23:06:01Z
kinqie,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, kinqie,Higher 26.5 kills on maps 1+2,2025-09-01T02:16:06Z
kinqie,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, kinqie,Lower 26.5 kills on maps 1+2,2025-09-01T02:16:06Z
kinqie,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, kinqie,Higher 13.5 headshots on maps 1+2,2025-09-01T02:16:06Z
kinqie,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, kinqie,Lower 13.5 headshots on maps 1+2,2025-09-01T02:16:06Z
kinqie,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, kinqie,Higher 25.5 kills on maps 1+2,2025-08-31T23:06:19Z
kinqie,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, kinqie,Lower 25.5 kills on maps 1+2,2025-08-31T23:06:19Z
kinqie,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, kinqie,Higher 13.0 headshots on maps 1+2,2025-08-31T23:06:19Z
kinqie,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, kinqie,Lower 13.0 headshots on maps 1+2,2025-08-31T23:06:19Z
Magnojez,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Magnojez,Higher 30.5 kills on maps 1+2,2025-08-31T23:06:07Z
Magnojez,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Magnojez,Lower 30.5 kills on maps 1+2,2025-08-31T23:06:07Z
Magnojez,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Magnojez,Higher 16.5 headshots on maps 1+2,2025-08-31T23:06:07Z
Magnojez,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Magnojez,Lower 16.5 headshots on maps 1+2,2025-08-31T23:06:07Z
Chopper,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Chopper,Higher 21.5 kills on maps 1+2,2025-08-31T23:06:18Z
Chopper,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Chopper,Lower 21.5 kills on maps 1+2,2025-08-31T23:06:18Z
Chopper,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Chopper,Higher 12.0 headshots on maps 1+2,2025-08-31T23:27:36Z
Chopper,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Chopper,Lower 12.0 headshots on maps 1+2,2025-08-31T23:27:36Z
Zont1x,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Zont1x,Higher 25.5 kills on maps 1+2,2025-08-31T23:06:18Z
Zont1x,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Zont1x,Lower 25.5 kills on maps 1+2,2025-08-31T23:06:18Z
Zont1x,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Zont1x,Higher 10.5 headshots on maps 1+2,2025-08-31T23:06:18Z
Zont1x,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Zont1x,Lower 10.5 headshots on maps 1+2,2025-08-31T23:06:18Z
yuurih,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,yuurih,Higher 26.5 kills on maps 1+2,2025-09-01T00:30:30Z
yuurih,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,yuurih,Lower 26.5 kills on maps 1+2,2025-09-01T00:30:30Z
